iter	Passed	Remaining
744	1391	476
745	1392	474
746	1394	472
747	1395	470
748	1395	467
749	1396	465
750	1397	463
751	1398	461
752	1398	458
753	1399	456
754	1400	454
755	1400	452
756	1401	449
757	1402	447
758	1405	446
759	1407	444
760	1408	442
761	1408	440
762	1409	437
763	1410	435
764	1411	433
765	1411	431
766	1412	429
767	1413	426
768	1413	424
769	1414	422
770	1415	420
771	1415	418
772	1417	416
773	1418	414
774	1421	412
775	1422	410
776	1426	409
777	1428	407
778	1429	405
779	1430	403
780	1434	402
781	1437	400
782	1438	398
783	1444	397
784	1445	395
785	1452	395
786	1454	393
787	1456	391
788	1457	389
789	1458	387
790	1459	385
791	1463	384
792	1466	382
793	1467	380
794	1468	378
795	1471	377
796	1475	375
797	1480	374
798	1481	372
799	1483	370
800	1485	369
801	1486	367
802	1487	364
803	1494	364
804	1496	362
805	1497	360
806	1499	358
807	1501	356
808	1508	356
809	1510	354
810	1512	352
811	1513	350
812	1513	348
813	1517	346
814	1528	346
815	1529	344
816	1532	343
817	1533	341
818	1537	339
819	1538	337
820	1539	335
821	1541	333
822	1543	331
823	1544	329
824	1545	327
825	1552	327
826	1553	325
827	1555	323
828	1556	321
829	1558	319
830	1559	317
831	1560	315
832	1567	314
833	1568	312
834	1570	310
835	1571	308
836	1571	306
837	1572	303
838	1573	301
839	1574	299
840	1581	298
841	1582	296
842	1583	294
843	1584	292
844	1585	290
845	1585	288
846	1586	286
847	1587	284
848	1587	282
849	1588	280
850	1589	278
851	1594	276
852	1595	274
853	1595	272
854	1596	270
855	1597	268
856	1598	266
857	1598	264
858	1599	262
859	1600	260
860	1600	258
861	1601	256
862	1602	254
863	1602	252
864	1604	250
865	1609	249
866	1610	247
867	1610	244
868	1611	242
869	1612	240
870	1613	238
871	1614	236
872	1614	234
873	1615	232
874	1615	230
875	1616	228
876	1617	226
877	1618	224
878	1622	223
879	1624	221
880	1626	219
881	1628	217
882	1629	215
883	1631	214
884	1632	212
885	1633	210
886	1637	208
887	1639	206
888	1640	204
889	1641	202
890	1642	200
891	1642	198
892	1643	196
893	1644	194
894	1644	192
895	1645	191
896	1646	189
897	1646	187
898	1647	185
899	1648	183
900	1652	181
901	1653	179
902	1653	177
903	1654	175
904	1655	173
905	1655	171
906	1656	169
907	1657	167
908	1657	165
909	1658	164
910	1659	162
911	1659	160
912	1660	158
913	1661	156
914	1661	154
915	1662	152
916	1663	150
917	1666	148
918	1667	146
919	1668	145
920	1668	143
921	1669	141
922	1670	139
923	1671	137
924	1671	135
925	1672	133
926	1673	131
927	1673	129
928	1674	127
929	1675	126
930	1675	124
931	1676	122
932	1677	120
933	1678	118
934	1680	116
935	1681	114
936	1682	113
937	1682	111
938	1683	109
939	1684	107
940	1685	105
941	1686	103
942	1687	101
943	1688	100
944	1689	98
945	1690	96
946	1691	94
947	1692	92
948	1692	90
949	1693	89
950	1694	87
951	1694	85
952	1695	83
953	1696	81
954	1696	79
955	1697	78
956	1698	76
957	1698	74
958	1699	72
959	1700	70
960	1701	69
961	1702	67
962	1702	65
963	1703	63
964	1704	61
965	1706	60
966	1708	58
967	1708	56
968	1709	54
969	1710	52
970	1710	51
971	1711	49
972	1712	47
973	1712	45
974	1713	43
975	1714	42
976	1714	40
977	1715	38
978	1716	36
979	1717	35
980	1720	33
981	1721	31
982	1722	29
983	1722	28
984	1723	26
985	1724	24
986	1724	22
987	1725	20
988	1726	19
989	1726	17
990	1727	15
991	1728	13
992	1728	12
993	1729	10
994	1730	8
995	1731	6
996	1731	5
997	1735	3
998	1736	1
999	1736	0
